X,Y,Z,sii_sii
-4.176253540945100800e+16,-1.488762473703014400e+16,-9.368811878744064000e+15,6.730979084968566895e-01
-4.176253540945100800e+16,-1.480803791929344000e+16,-9.549851192721408000e+15,1.080661296844482422e+00
-4.176253540945100800e+16,-1.472845110155673600e+16,-9.566356752039936000e+15,9.743767976760864258e-01
-4.176253540945100800e+16,-1.464886428382003200e+16,-9.522004772257792000e+15,7.545768618583679199e-01
-4.176253540945100800e+16,-1.456927853982515200e+16,-9.492310442115072000e+15,7.123912572860717773e-01
-4.168294966545612800e+16,-1.504679837250355200e+16,-1.045719202503065600e+16,1.147301912307739258e+00
-4.168294966545612800e+16,-1.496721155476684800e+16,-9.329937056006144000e+15,7.323776483535766602e-01
-4.168294966545612800e+16,-1.488762473703014400e+16,-9.351636304527360000e+15,9.031260609626770020e-01
-4.168294966545612800e+16,-1.480803791929344000e+16,-9.807971211018240000e+15,9.399026632308959961e-01
-4.168294966545612800e+16,-1.472845110155673600e+16,-9.679151183167488000e+15,9.782029390335083008e-01
-4.168294966545612800e+16,-1.464886428382003200e+16,-9.626646281715712000e+15,1.169815182685852051e+00
-4.168294966545612800e+16,-1.456927853982515200e+16,-9.572626330550272000e+15,9.512647390365600586e-01
-4.160336392146124800e+16,-1.520597093423513600e+16,-1.304184750918860800e+16,9.450238347053527832e-01
-4.160336392146124800e+16,-1.512638519024025600e+16,-1.085718984549990400e+16,8.387953639030456543e-01
-4.160336392146124800e+16,-1.504679837250355200e+16,-1.064332194899558400e+16,7.438777685165405273e-01
-4.160336392146124800e+16,-1.496721155476684800e+16,-1.046299452584755200e+16,8.553597331047058105e-01
-4.160336392146124800e+16,-1.488762473703014400e+16,-1.010080959745228800e+16,7.038896679878234863e-01
-4.160336392146124800e+16,-1.480803791929344000e+16,-9.996215332634624000e+15,8.894600868225097656e-01
-4.160336392146124800e+16,-1.472845110155673600e+16,-9.843747214852096000e+15,1.141713261604309082e+00
-4.160336392146124800e+16,-1.464886428382003200e+16,-9.683836992487424000e+15,7.566822767257690430e-01
-4.160336392146124800e+16,-1.456927853982515200e+16,-9.638047272402944000e+15,9.298574924468994141e-01
-4.152377388249907200e+16,-1.520597093423513600e+16,-1.287891792481484800e+16,8.769234418869018555e-01
-4.152377388249907200e+16,-1.512638519024025600e+16,-1.088082075556249600e+16,8.818536996841430664e-01
-4.152377388249907200e+16,-1.504679837250355200e+16,-1.060281503868518400e+16,7.447817921638488770e-01
-4.152377388249907200e+16,-1.496721155476684800e+16,-1.040910986615193600e+16,5.131784677505493164e-01
-4.152377388249907200e+16,-1.488762473703014400e+16,-1.018684960355123200e+16,5.590968132019042969e-01
-4.152377388249907200e+16,-1.480803791929344000e+16,-1.008030005487206400e+16,9.419328570365905762e-01
-4.152377388249907200e+16,-1.472845110155673600e+16,-9.874573268877312000e+15,1.001618742942810059e+00
-4.152377388249907200e+16,-1.464886428382003200e+16,-9.746294406905856000e+15,8.190063238143920898e-01
-4.144418813850419200e+16,-1.520597093423513600e+16,-1.273543809984102400e+16,9.025422334671020508e-01
-4.144418813850419200e+16,-1.512638519024025600e+16,-1.249587341400473600e+16,8.678662776947021484e-01
-4.144418813850419200e+16,-1.504679837250355200e+16,-1.065305327114649600e+16,7.702052593231201172e-01
-4.144418813850419200e+16,-1.496721155476684800e+16,-1.043356755741900800e+16,6.314111351966857910e-01
-4.144418813850419200e+16,-1.488762473703014400e+16,-1.019920407697817600e+16,6.061916351318359375e-01
-4.144418813850419200e+16,-1.480803791929344000e+16,-1.010612354573926400e+16,9.735851287841796875e-01
-4.144418813850419200e+16,-1.472845110155673600e+16,-9.991289005146112000e+15,1.116186976432800293e+00
-4.136460239450931200e+16,-1.512638519024025600e+16,-1.252466257978982400e+16,9.653976559638977051e-01
-4.136460239450931200e+16,-1.504679837250355200e+16,-1.062254611844300800e+16,7.997885942459106445e-01
-4.136460239450931200e+16,-1.496721155476684800e+16,-1.038588697798246400e+16,7.168039679527282715e-01
-4.136460239450931200e+16,-1.488762473703014400e+16,-1.025933791408947200e+16,9.140822887420654297e-01
-4.136460239450931200e+16,-1.480803791929344000e+16,-1.009565348921344000e+16,7.031567096710205078e-01
-4.128501665051443200e+16,-1.504679837250355200e+16,-1.053299175535411200e+16,9.016581773757934570e-01
-4.128501665051443200e+16,-1.496721155476684800e+16,-1.039673391788851200e+16,1.160752654075622559e+00
-4.128501665051443200e+16,-1.488762473703014400e+16,-1.026508672781516800e+16,1.008262276649475098e+00
-4.128501665051443200e+16,-1.480803791929344000e+16,-1.014264472639897600e+16,7.260993123054504395e-01
-4.120542661155225600e+16,-1.496721155476684800e+16,-1.028586470585139200e+16,9.144086837768554688e-01
-4.120542661155225600e+16,-1.488762473703014400e+16,-1.025767361426227200e+16,1.010739207267761230e+00
-4.112584086755737600e+16,-1.496721155476684800e+16,-1.048216296488960000e+16,1.031781911849975586e+00
-4.112584086755737600e+16,-1.488762473703014400e+16,-1.029259491960422400e+16,1.023269772529602051e+00
-4.104625512356249600e+16,-1.496721155476684800e+16,-1.030550773877964800e+16,1.088533520698547363e+00
-4.104625512356249600e+16,-1.488762473703014400e+16,-1.029818804076544000e+16,8.831589221954345703e-01
-4.009121760568934400e+16,-6.133093576474624000e+15,-1.565058165374976000e+16,1.369021058082580566e+00
-4.001163186169446400e+16,-6.133093576474624000e+15,-1.568690311843020800e+16,4.848076701164245605e-01
-3.993204611769958400e+16,-6.292267211948032000e+15,-1.561686508673433600e+16,1.173199295997619629e+00
-3.993204611769958400e+16,-6.212680394211328000e+15,-1.566540788085555200e+16,1.270205140113830566e+00
-3.993204611769958400e+16,-6.133093576474624000e+15,-1.570467461935923200e+16,6.759135127067565918e-01
-3.985245607873740800e+16,-6.371854029684736000e+15,-1.566993585012736000e+16,1.115869879722595215e+00
-3.985245607873740800e+16,-6.292267211948032000e+15,-1.567219500292505600e+16,1.082960367202758789e+00
-3.985245607873740800e+16,-6.212680394211328000e+15,-1.567892629041971200e+16,1.051762938499450684e+00
-3.985245607873740800e+16,-6.133093576474624000e+15,-1.570357188650598400e+16,1.177325129508972168e+00
-3.977287033474252800e+16,-6.371854029684736000e+15,-1.565025094126796800e+16,1.373902559280395508e+00
-3.977287033474252800e+16,-6.292267211948032000e+15,-1.562276315057356800e+16,1.025495290756225586e+00
-3.977287033474252800e+16,-6.212680394211328000e+15,-1.564248241917132800e+16,1.015293240547180176e+00
-3.969328459074764800e+16,-6.451440310550528000e+15,-1.567391406358528000e+16,1.230053067207336426e+00
-3.969328459074764800e+16,-6.371854029684736000e+15,-1.562850015313920000e+16,1.090080738067626953e+00
-3.969328459074764800e+16,-6.292267211948032000e+15,-1.560711014226329600e+16,1.116465806961059570e+00
-3.969328459074764800e+16,-6.212680394211328000e+15,-1.563490609686118400e+16,1.217773437500000000e+00
-3.961369884675276800e+16,-6.451440310550528000e+15,-1.567795348032716800e+16,1.315995812416076660e+00
-3.961369884675276800e+16,-6.371854029684736000e+15,-1.562075740084633600e+16,9.853186011314392090e-01
-3.961369884675276800e+16,-6.292267211948032000e+15,-1.562967375295283200e+16,1.129519820213317871e+00
-3.953410880779059200e+16,-6.371854029684736000e+15,-1.560805181384294400e+16,1.214074850082397461e+00
-3.889741856086425600e+16,-2.260752887762124800e+16,4.137980335751168000e+15,9.569780826568603516e-01
-3.881782852190208000e+16,-1.830984930977382400e+16,-2.080802992239411200e+16,1.172458052635192871e+00
-3.881782852190208000e+16,-1.823026356577894400e+16,-2.082514966203596800e+16,1.172573804855346680e+00
-3.873824277790720000e+16,-1.838943720125235200e+16,-2.062289320961638400e+16,1.232814550399780273e+00
-3.873824277790720000e+16,-1.830984930977382400e+16,-2.070551120052224000e+16,1.211070418357849121e+00
-3.873824277790720000e+16,-1.823026356577894400e+16,-2.071209968035430400e+16,1.326888322830200195e+00
-3.873824277790720000e+16,-1.815067567430041600e+16,-2.070737951129600000e+16,1.171421170234680176e+00
-3.865865703391232000e+16,-1.838943720125235200e+16,-2.040736960321945600e+16,1.163436651229858398e+00
-3.865865703391232000e+16,-1.830984930977382400e+16,-2.056111440003072000e+16,1.143366813659667969e+00
-3.865865703391232000e+16,-1.823026356577894400e+16,-2.058566228561100800e+16,1.163111209869384766e+00
-3.865865703391232000e+16,-1.815067567430041600e+16,4.432736156647424000e+15,1.000424623489379883e+00
-3.865865703391232000e+16,-1.520597093423513600e+16,-1.441910286083686400e+16,1.053777933120727539e+00
-3.857907128991744000e+16,-1.838943720125235200e+16,-2.024369054705254400e+16,1.125982403755187988e+00
-3.857907128991744000e+16,-1.830984930977382400e+16,-2.036391527160217600e+16,1.254483342170715332e+00
-3.857907128991744000e+16,-1.823026356577894400e+16,-2.049792254620467200e+16,1.029234409332275391e+00
-3.857907128991744000e+16,-1.815067567430041600e+16,-2.056760409561497600e+16,9.603233933448791504e-01
-3.857907128991744000e+16,-1.536514349596672000e+16,-1.453609562249625600e+16,1.221465826034545898e+00
-3.857907128991744000e+16,-1.528555775197184000e+16,-1.443247202028748800e+16,1.212208867073059082e+00
